Date,Price,Open,High,Low,Vol.,Change %,
5-Jun-11,16.7,18.9,19,16.2,24.28K,-11.59%,323
4-Jun-11,18.9,14.3,18.9,14,44.48K,32.19%,322
3-Jun-11,14.3,10.6,14.5,10.6,72.98K,34.81%,321
2-Jun-11,10.6,9.6,10.9,9.5,41.05K,10.76%,320
1-Jun-11,9.6,8.7,9.7,8.3,43.48K,9.50%,319
31-May-11,8.7,8.8,9.5,8.1,45.79K,-0.68%,318
30-May-11,8.8,8.4,9,8.3,17.68K,4.39%,317
29-May-11,8.4,8.3,8.5,8.1,7.49K,1.57%,316
28-May-11,8.3,8.5,8.7,8.1,12.25K,-2.35%,315
27-May-11,8.5,8.8,8.8,8.5,14.43K,-3.41%,314
26-May-11,8.8,8.4,9,8,28.65K,4.76%,313
25-May-11,8.4,7.4,9.3,7.2,64.05K,13.21%,312
24-May-11,7.4,7.2,7.5,7,29.28K,3.78%,311
23-May-11,7.2,6.7,7.4,6.7,35.28K,6.88%,310
22-May-11,6.7,6.1,6.8,6,23.87K,9.31%,309
21-May-11,6.1,5.6,6.5,5.6,31.11K,9.48%,308
20-May-11,5.6,6.8,7.1,5.6,44.46K,-17.91%,307
19-May-11,6.8,6.9,7.3,6.6,24.44K,-1.02%,306
18-May-11,6.9,7.2,7.5,6.6,25.40K,-4.31%,305
17-May-11,7.2,8,8.4,7,35.35K,-10.46%,304
16-May-11,8,7,8.5,6.8,44.14K,14.88%,303
15-May-11,7,7.2,7.8,6.2,18.30K,-2.92%,302
14-May-11,7.2,8.2,8.9,5.8,55.39K,-12.20%,301
13-May-11,8.2,6.3,8.4,6.3,64.00K,30.16%,300
12-May-11,6.3,5.5,6.5,5.2,31.72K,14.55%,299
11-May-11,5.5,5.8,6.1,4.6,52.57K,-5.34%,298
10-May-11,5.8,3.8,6,3.8,56.22K,52.89%,297
9-May-11,3.8,3.9,3.9,3.7,11.52K,-1.81%,296
8-May-11,3.9,3.6,3.9,3.6,21.13K,6.32%,295
7-May-11,3.6,3.5,3.7,3.4,17.83K,5.51%,294
6-May-11,3.5,3.3,3.6,3.3,23.02K,3.60%,293
5-May-11,3.3,3.4,3.5,3.3,15.35K,-2.35%,292
4-May-11,3.4,3.4,3.6,3.3,17.28K,0.00%,291
3-May-11,3.4,3.2,3.5,3.1,16.92K,6.56%,290
2-May-11,3.2,3,3.5,3,18.33K,5.61%,289
1-May-11,3,3.5,3.9,2.5,45.77K,-13.43%,288
30-Apr-11,3.5,2.9,4.2,2.8,65.43K,21.53%,287
29-Apr-11,2.9,2.2,3,2.2,57.58K,30.32%,286
28-Apr-11,2.2,1.9,2.7,1.7,100.24K,16.32%,285
27-Apr-11,1.9,1.8,2,1.7,33.06K,6.15%,284
26-Apr-11,1.8,1.6,1.8,1.5,24.05K,14.74%,283
25-Apr-11,1.6,1.6,1.7,1.5,13.47K,-4.29%,282
24-Apr-11,1.6,1.7,2,1.6,21.54K,-4.12%,281
23-Apr-11,1.7,1.4,2,1.3,66.62K,20.57%,280
22-Apr-11,1.4,1.2,1.4,1.2,39.42K,16.53%,279
21-Apr-11,1.2,1.1,1.2,1.1,39.30K,6.14%,278
20-Apr-11,1.1,1.2,1.2,1.1,21.35K,-5.00%,277
19-Apr-11,1.2,1.2,1.2,1.1,12.56K,0.00%,276
18-Apr-11,1.2,1.1,1.2,1.1,27.48K,0.00%,275
17-Apr-11,1.1,1,1.1,1,24.23K,5.71%,274
16-Apr-11,1,1,1.1,1,28.87K,6.07%,273
15-Apr-11,1,1,1.1,0.9,50.31K,0.00%,272
14-Apr-11,1,0.9,1,0.9,31.11K,8.40%,271
13-Apr-11,0.9,0.9,1,0.9,43.40K,7.27%,270
12-Apr-11,0.9,0.8,0.9,0.8,48.42K,11.69%,269
11-Apr-11,0.8,0.7,0.8,0.7,14.65K,0.00%,268
10-Apr-11,0.7,0.7,0.8,0.7,5.35K,0.00%,267
9-Apr-11,0.7,0.8,0.8,0.7,12.12K,0.00%,266
8-Apr-11,0.8,0.8,0.8,0.7,18.21K,0.00%,265
7-Apr-11,0.8,0.7,0.8,0.7,10.83K,0.00%,264
6-Apr-11,0.7,0.7,0.8,0.7,8.70K,0.00%,263
5-Apr-11,0.7,0.7,0.7,0.6,9.73K,0.00%,262
4-Apr-11,0.7,0.8,0.8,0.6,31.16K,-12.71%,261
